,model,metric,fold,value
345,DecisionTree,relative_accuracy,5,0.9545454545454546
346,DecisionTree,relative_accuracy,6,0.9411764705882353
347,DecisionTree,relative_accuracy,7,0.9523809523809523
348,DecisionTree,relative_accuracy,8,0.8260869565217391
349,DecisionTree,relative_accuracy,9,0.9375
350,DecisionTree,relative_recall,0,1.0
351,DecisionTree,relative_recall,1,0.9333333333333333
352,DecisionTree,relative_recall,2,0.9333333333333333
353,DecisionTree,relative_recall,3,0.7777777777777778
354,DecisionTree,relative_recall,4,1.0
355,DecisionTree,relative_recall,5,0.9285714285714286
356,DecisionTree,relative_recall,6,0.9285714285714286
357,DecisionTree,relative_recall,7,0.9375
358,DecisionTree,relative_recall,8,0.7777777777777778
359,DecisionTree,relative_recall,9,0.9090909090909091
360,RandomForest,accuracy,0,0.7532467532467533
361,RandomForest,accuracy,1,0.8181818181818182
362,RandomForest,accuracy,2,0.7402597402597403
363,RandomForest,accuracy,3,0.8181818181818182
364,RandomForest,accuracy,4,0.8051948051948052
365,RandomForest,accuracy,5,0.7532467532467533
366,RandomForest,accuracy,6,0.8181818181818182
367,RandomForest,accuracy,7,0.7662337662337663
368,RandomForest,accuracy,8,0.7368421052631579
369,RandomForest,accuracy,9,0.7105263157894737
370,RandomForest,precision,0,0.6052631578947368
371,RandomForest,precision,1,0.7241379310344828
372,RandomForest,precision,2,0.6206896551724138
373,RandomForest,precision,3,0.7407407407407407
374,RandomForest,precision,4,0.6875
375,RandomForest,precision,5,0.6333333333333333
376,RandomForest,precision,6,0.7241379310344828
377,RandomForest,precision,7,0.6285714285714286
378,RandomForest,precision,8,0.5833333333333334
379,RandomForest,precision,9,0.5769230769230769
380,RandomForest,recall,0,0.8518518518518519
381,RandomForest,recall,1,0.7777777777777778
382,RandomForest,recall,2,0.6666666666666666
383,RandomForest,recall,3,0.7407407407407407
384,RandomForest,recall,4,0.8148148148148148
385,RandomForest,recall,5,0.7037037037037037
386,RandomForest,recall,6,0.7777777777777778
387,RandomForest,recall,7,0.8148148148148148
388,RandomForest,recall,8,0.8076923076923077
389,RandomForest,recall,9,0.5769230769230769
390,RandomForest,f1,0,0.7076923076923077
391,RandomForest,f1,1,0.75
392,RandomForest,f1,2,0.6428571428571429
393,RandomForest,f1,3,0.7407407407407407
394,RandomForest,f1,4,0.7457627118644068
395,RandomForest,f1,5,0.6666666666666666
396,RandomForest,f1,6,0.75
397,RandomForest,f1,7,0.7096774193548387
398,RandomForest,f1,8,0.6774193548387096
399,RandomForest,f1,9,0.5769230769230769
400,RandomForest,balanced_accuracy,0,0.7759259259259259
401,RandomForest,balanced_accuracy,1,0.8088888888888889
402,RandomForest,balanced_accuracy,2,0.7233333333333334
403,RandomForest,balanced_accuracy,3,0.8003703703703704
404,RandomForest,balanced_accuracy,4,0.8074074074074074
405,RandomForest,balanced_accuracy,5,0.7418518518518519
406,RandomForest,balanced_accuracy,6,0.8088888888888889
407,RandomForest,balanced_accuracy,7,0.7774074074074073
408,RandomForest,balanced_accuracy,8,0.7538461538461538
409,RandomForest,balanced_accuracy,9,0.6784615384615384
410,RandomForest,mcc,0,0.5267023871299493
411,RandomForest,mcc,1,0.6083864722500479
412,RandomForest,mcc,2,0.4398765500800706
413,RandomForest,mcc,3,0.6007407407407407
414,RandomForest,mcc,4,0.5952918846948437
415,RandomForest,mcc,5,0.4733002574487753
416,RandomForest,mcc,6,0.6083864722500479
417,RandomForest,mcc,7,0.53168727464995
418,RandomForest,mcc,8,0.48238191061886604
419,RandomForest,mcc,9,0.3569230769230769
420,RandomForest,tn_rate,0,0.45454545454545453
421,RandomForest,tn_rate,1,0.5454545454545454
422,RandomForest,tn_rate,2,0.5064935064935064
423,RandomForest,tn_rate,3,0.5584415584415584
424,RandomForest,tn_rate,4,0.5194805194805194
425,RandomForest,tn_rate,5,0.5064935064935064
426,RandomForest,tn_rate,6,0.5454545454545454
427,RandomForest,tn_rate,7,0.4805194805194805
